Unnamed: 0,digit1,digit2,digit3,digit4,digit5,strings
7787,A,C,E,T,C,ACETC
7788,A,C,E,T,D,ACETD
7789,A,C,E,T,E,ACETE
7790,A,C,E,T,F,ACETF
7791,A,C,E,T,J,ACETJ
7792,A,C,E,T,K,ACETK
7793,A,C,E,T,Q,ACETQ
7794,A,C,E,T,T,ACETT
7795,A,C,E,T,V,ACETV
7796,A,C,E,T,W,ACETW
7797,A,C,E,T,X,ACETX
7798,A,C,E,T,Y,ACETY
7799,A,C,E,T,Z,ACETZ
7809,A,C,E,V,T,ACEVT
7824,A,C,E,W,T,ACEWT
7839,A,C,E,X,T,ACEXT
7854,A,C,E,Y,T,ACEYT
7869,A,C,E,Z,T,ACEZT
8014,A,C,F,T,E,ACFTE
8239,A,C,J,T,E,ACJTE
8464,A,C,K,T,E,ACKTE
8689,A,C,Q,T,E,ACQTE
8779,A,C,T,A,E,ACTAE
8794,A,C,T,B,E,ACTBE
8809,A,C,T,C,E,ACTCE
8824,A,C,T,D,E,ACTDE
8854,A,C,T,F,E,ACTFE
8869,A,C,T,J,E,ACTJE
8884,A,C,T,K,E,ACTKE
8899,A,C,T,Q,E,ACTQE
8914,A,C,T,T,E,ACTTE
8929,A,C,T,V,E,ACTVE
8944,A,C,T,W,E,ACTWE
8959,A,C,T,X,E,ACTXE
8974,A,C,T,Y,E,ACTYE
8989,A,C,T,Z,E,ACTZE
9139,A,C,V,T,E,ACVTE
9364,A,C,W,T,E,ACWTE
9589,A,C,X,T,E,ACXTE
9814,A,C,Y,T,E,ACYTE
10039,A,C,Z,T,E,ACZTE
10264,A,D,A,T,E,ADATE
10489,A,D,B,T,E,ADBTE
10714,A,D,C,T,E,ADCTE
10939,A,D,D,T,E,ADDTE
11034,A,D,E,A,T,ADEAT
11049,A,D,E,B,T,ADEBT
11064,A,D,E,C,T,ADECT
11079,A,D,E,D,T,ADEDT
11109,A,D,E,F,T,ADEFT
11124,A,D,E,J,T,ADEJT
11139,A,D,E,K,T,ADEKT
11154,A,D,E,Q,T,ADEQT
11160,A,D,E,T,A,ADETA
11161,A,D,E,T,B,ADETB
11162,A,D,E,T,C,ADETC
11163,A,D,E,T,D,ADETD
11164,A,D,E,T,E,ADETE
11165,A,D,E,T,F,ADETF
11166,A,D,E,T,J,ADETJ
11167,A,D,E,T,K,ADETK
11168,A,D,E,T,Q,ADETQ
11169,A,D,E,T,T,ADETT
11170,A,D,E,T,V,ADETV
11171,A,D,E,T,W,ADETW
11172,A,D,E,T,X,ADETX
11173,A,D,E,T,Y,ADETY
11174,A,D,E,T,Z,ADETZ
11184,A,D,E,V,T,ADEVT
11199,A,D,E,W,T,ADEWT
11214,A,D,E,X,T,ADEXT
11229,A,D,E,Y,T,ADEYT
11244,A,D,E,Z,T,ADEZT
11389,A,D,F,T,E,ADFTE
11614,A,D,J,T,E,ADJTE
11839,A,D,K,T,E,ADKTE
12064,A,D,Q,T,E,ADQTE
12154,A,D,T,A,E,ADTAE
12169,A,D,T,B,E,ADTBE
12184,A,D,T,C,E,ADTCE
12199,A,D,T,D,E,ADTDE
12229,A,D,T,F,E,ADTFE
12244,A,D,T,J,E,ADTJE
12259,A,D,T,K,E,ADTKE
12274,A,D,T,Q,E,ADTQE
12289,A,D,T,T,E,ADTTE
12304,A,D,T,V,E,ADTVE
12319,A,D,T,W,E,ADTWE
12334,A,D,T,X,E,ADTXE
12349,A,D,T,Y,E,ADTYE
12364,A,D,T,Z,E,ADTZE
12514,A,D,V,T,E,ADVTE
12739,A,D,W,T,E,ADWTE
12964,A,D,X,T,E,ADXTE
13189,A,D,Y,T,E,ADYTE
13414,A,D,Z,T,E,ADZTE
13509,A,E,A,A,T,AEAAT
13524,A,E,A,B,T,AEABT
13539,A,E,A,C,T,AEACT
13554,A,E,A,D,T,AEADT
13584,A,E,A,F,T,AEAFT
13599,A,E,A,J,T,AEAJT
13614,A,E,A,K,T,AEAKT
13629,A,E,A,Q,T,AEAQT
13635,A,E,A,T,A,AEATA
13636,A,E,A,T,B,AEATB
13637,A,E,A,T,C,AEATC
13638,A,E,A,T,D,AEATD
13639,A,E,A,T,E,AEATE
13640,A,E,A,T,F,AEATF
13641,A,E,A,T,J,AEATJ
13642,A,E,A,T,K,AEATK
13643,A,E,A,T,Q,AEATQ
13644,A,E,A,T,T,AEATT
13645,A,E,A,T,V,AEATV
13646,A,E,A,T,W,AEATW
13647,A,E,A,T,X,AEATX
13648,A,E,A,T,Y,AEATY
13649,A,E,A,T,Z,AEATZ
13659,A,E,A,V,T,AEAVT
13674,A,E,A,W,T,AEAWT
13689,A,E,A,X,T,AEAXT
13704,A,E,A,Y,T,AEAYT
13719,A,E,A,Z,T,AEAZT
13734,A,E,B,A,T,AEBAT
13749,A,E,B,B,T,AEBBT
13764,A,E,B,C,T,AEBCT
13779,A,E,B,D,T,AEBDT
13809,A,E,B,F,T,AEBFT
13824,A,E,B,J,T,AEBJT
13839,A,E,B,K,T,AEBKT
13854,A,E,B,Q,T,AEBQT
13860,A,E,B,T,A,AEBTA
13861,A,E,B,T,B,AEBTB
13862,A,E,B,T,C,AEBTC
13863,A,E,B,T,D,AEBTD
13864,A,E,B,T,E,AEBTE
13865,A,E,B,T,F,AEBTF
13866,A,E,B,T,J,AEBTJ
13867,A,E,B,T,K,AEBTK
13868,A,E,B,T,Q,AEBTQ
13869,A,E,B,T,T,AEBTT
13870,A,E,B,T,V,AEBTV
13871,A,E,B,T,W,AEBTW
13872,A,E,B,T,X,AEBTX
13873,A,E,B,T,Y,AEBTY
13874,A,E,B,T,Z,AEBTZ
13884,A,E,B,V,T,AEBVT
13899,A,E,B,W,T,AEBWT
13914,A,E,B,X,T,AEBXT
13929,A,E,B,Y,T,AEBYT
13944,A,E,B,Z,T,AEBZT
13959,A,E,C,A,T,AECAT
13974,A,E,C,B,T,AECBT
13989,A,E,C,C,T,AECCT
14004,A,E,C,D,T,AECDT
14034,A,E,C,F,T,AECFT
14049,A,E,C,J,T,AECJT
14064,A,E,C,K,T,AECKT
14079,A,E,C,Q,T,AECQT
14085,A,E,C,T,A,AECTA
14086,A,E,C,T,B,AECTB
14087,A,E,C,T,C,AECTC
14088,A,E,C,T,D,AECTD
14089,A,E,C,T,E,AECTE
14090,A,E,C,T,F,AECTF
14091,A,E,C,T,J,AECTJ
14092,A,E,C,T,K,AECTK
14093,A,E,C,T,Q,AECTQ
14094,A,E,C,T,T,AECTT
14095,A,E,C,T,V,AECTV
14096,A,E,C,T,W,AECTW
14097,A,E,C,T,X,AECTX
14098,A,E,C,T,Y,AECTY
14099,A,E,C,T,Z,AECTZ
14109,A,E,C,V,T,AECVT
14124,A,E,C,W,T,AECWT
14139,A,E,C,X,T,AECXT
14154,A,E,C,Y,T,AECYT
14169,A,E,C,Z,T,AECZT
14184,A,E,D,A,T,AEDAT
14199,A,E,D,B,T,AEDBT
14214,A,E,D,C,T,AEDCT
14229,A,E,D,D,T,AEDDT
14259,A,E,D,F,T,AEDFT
14274,A,E,D,J,T,AEDJT
14289,A,E,D,K,T,AEDKT
14304,A,E,D,Q,T,AEDQT
14310,A,E,D,T,A,AEDTA
14311,A,E,D,T,B,AEDTB
14312,A,E,D,T,C,AEDTC
14313,A,E,D,T,D,AEDTD
14314,A,E,D,T,E,AEDTE
14315,A,E,D,T,F,AEDTF
14316,A,E,D,T,J,AEDTJ
14317,A,E,D,T,K,AEDTK
14318,A,E,D,T,Q,AEDTQ
14319,A,E,D,T,T,AEDTT
14320,A,E,D,T,V,AEDTV
14321,A,E,D,T,W,AEDTW
14322,A,E,D,T,X,AEDTX
14323,A,E,D,T,Y,AEDTY
14324,A,E,D,T,Z,AEDTZ
14334,A,E,D,V,T,AEDVT
14349,A,E,D,W,T,AEDWT
14364,A,E,D,X,T,AEDXT
14379,A,E,D,Y,T,AEDYT
14394,A,E,D,Z,T,AEDZT
14409,A,E,E,A,T,AEEAT
14424,A,E,E,B,T,AEEBT
14439,A,E,E,C,T,AEECT
14454,A,E,E,D,T,AEEDT
14484,A,E,E,F,T,AEEFT
14499,A,E,E,J,T,AEEJT
14514,A,E,E,K,T,AEEKT
14529,A,E,E,Q,T,AEEQT
14535,A,E,E,T,A,AEETA
14536,A,E,E,T,B,AEETB
14537,A,E,E,T,C,AEETC
14538,A,E,E,T,D,AEETD
14539,A,E,E,T,E,AEETE
14540,A,E,E,T,F,AEETF
14541,A,E,E,T,J,AEETJ
14542,A,E,E,T,K,AEETK
14543,A,E,E,T,Q,AEETQ
14544,A,E,E,T,T,AEETT
14545,A,E,E,T,V,AEETV
14546,A,E,E,T,W,AEETW
14547,A,E,E,T,X,AEETX
14548,A,E,E,T,Y,AEETY
14549,A,E,E,T,Z,AEETZ
14559,A,E,E,V,T,AEEVT
14574,A,E,E,W,T,AEEWT
14589,A,E,E,X,T,AEEXT
14604,A,E,E,Y,T,AEEYT
14619,A,E,E,Z,T,AEEZT
14634,A,E,F,A,T,AEFAT
14649,A,E,F,B,T,AEFBT
14664,A,E,F,C,T,AEFCT
14679,A,E,F,D,T,AEFDT
14709,A,E,F,F,T,AEFFT
14724,A,E,F,J,T,AEFJT
14739,A,E,F,K,T,AEFKT
14754,A,E,F,Q,T,AEFQT
14760,A,E,F,T,A,AEFTA
14761,A,E,F,T,B,AEFTB
14762,A,E,F,T,C,AEFTC
14763,A,E,F,T,D,AEFTD
14764,A,E,F,T,E,AEFTE
14765,A,E,F,T,F,AEFTF
14766,A,E,F,T,J,AEFTJ
14767,A,E,F,T,K,AEFTK
14768,A,E,F,T,Q,AEFTQ
14769,A,E,F,T,T,AEFTT
14770,A,E,F,T,V,AEFTV
14771,A,E,F,T,W,AEFTW
14772,A,E,F,T,X,AEFTX
14773,A,E,F,T,Y,AEFTY
14774,A,E,F,T,Z,AEFTZ
14784,A,E,F,V,T,AEFVT
14799,A,E,F,W,T,AEFWT
14814,A,E,F,X,T,AEFXT
14829,A,E,F,Y,T,AEFYT
14844,A,E,F,Z,T,AEFZT
14859,A,E,J,A,T,AEJAT
14874,A,E,J,B,T,AEJBT
14889,A,E,J,C,T,AEJCT
14904,A,E,J,D,T,AEJDT
14934,A,E,J,F,T,AEJFT
14949,A,E,J,J,T,AEJJT
14964,A,E,J,K,T,AEJKT
14979,A,E,J,Q,T,AEJQT
14985,A,E,J,T,A,AEJTA
14986,A,E,J,T,B,AEJTB
14987,A,E,J,T,C,AEJTC
14988,A,E,J,T,D,AEJTD
14989,A,E,J,T,E,AEJTE
14990,A,E,J,T,F,AEJTF
14991,A,E,J,T,J,AEJTJ
14992,A,E,J,T,K,AEJTK
14993,A,E,J,T,Q,AEJTQ
14994,A,E,J,T,T,AEJTT
14995,A,E,J,T,V,AEJTV
14996,A,E,J,T,W,AEJTW
14997,A,E,J,T,X,AEJTX
14998,A,E,J,T,Y,AEJTY
14999,A,E,J,T,Z,AEJTZ
15009,A,E,J,V,T,AEJVT
15024,A,E,J,W,T,AEJWT
15039,A,E,J,X,T,AEJXT
15054,A,E,J,Y,T,AEJYT
15069,A,E,J,Z,T,AEJZT
15084,A,E,K,A,T,AEKAT
15099,A,E,K,B,T,AEKBT
15114,A,E,K,C,T,AEKCT
15129,A,E,K,D,T,AEKDT
15159,A,E,K,F,T,AEKFT
15174,A,E,K,J,T,AEKJT
15189,A,E,K,K,T,AEKKT
15204,A,E,K,Q,T,AEKQT
15210,A,E,K,T,A,AEKTA
15211,A,E,K,T,B,AEKTB
15212,A,E,K,T,C,AEKTC
15213,A,E,K,T,D,AEKTD
15214,A,E,K,T,E,AEKTE
15215,A,E,K,T,F,AEKTF
15216,A,E,K,T,J,AEKTJ
15217,A,E,K,T,K,AEKTK
15218,A,E,K,T,Q,AEKTQ
15219,A,E,K,T,T,AEKTT
15220,A,E,K,T,V,AEKTV
15221,A,E,K,T,W,AEKTW
15222,A,E,K,T,X,AEKTX
15223,A,E,K,T,Y,AEKTY
15224,A,E,K,T,Z,AEKTZ
15234,A,E,K,V,T,AEKVT
15249,A,E,K,W,T,AEKWT
15264,A,E,K,X,T,AEKXT
15279,A,E,K,Y,T,AEKYT
15294,A,E,K,Z,T,AEKZT
15309,A,E,Q,A,T,AEQAT
15324,A,E,Q,B,T,AEQBT
15339,A,E,Q,C,T,AEQCT
15354,A,E,Q,D,T,AEQDT
15384,A,E,Q,F,T,AEQFT
15399,A,E,Q,J,T,AEQJT
15414,A,E,Q,K,T,AEQKT
15429,A,E,Q,Q,T,AEQQT
15435,A,E,Q,T,A,AEQTA
15436,A,E,Q,T,B,AEQTB
15437,A,E,Q,T,C,AEQTC
15438,A,E,Q,T,D,AEQTD
15439,A,E,Q,T,E,AEQTE
15440,A,E,Q,T,F,AEQTF
15441,A,E,Q,T,J,AEQTJ
15442,A,E,Q,T,K,AEQTK
15443,A,E,Q,T,Q,AEQTQ
15444,A,E,Q,T,T,AEQTT
15445,A,E,Q,T,V,AEQTV
15446,A,E,Q,T,W,AEQTW
15447,A,E,Q,T,X,AEQTX
15448,A,E,Q,T,Y,AEQTY
15449,A,E,Q,T,Z,AEQTZ
15459,A,E,Q,V,T,AEQVT
15474,A,E,Q,W,T,AEQWT
15489,A,E,Q,X,T,AEQXT
15504,A,E,Q,Y,T,AEQYT
15519,A,E,Q,Z,T,AEQZT
15525,A,E,T,A,A,AETAA
15526,A,E,T,A,B,AETAB
15527,A,E,T,A,C,AETAC
15528,A,E,T,A,D,AETAD
15529,A,E,T,A,E,AETAE
15530,A,E,T,A,F,AETAF
15531,A,E,T,A,J,AETAJ
15532,A,E,T,A,K,AETAK
15533,A,E,T,A,Q,AETAQ
15534,A,E,T,A,T,AETAT
15535,A,E,T,A,V,AETAV
15536,A,E,T,A,W,AETAW
15537,A,E,T,A,X,AETAX
15538,A,E,T,A,Y,AETAY
15539,A,E,T,A,Z,AETAZ
15540,A,E,T,B,A,AETBA
15541,A,E,T,B,B,AETBB
15542,A,E,T,B,C,AETBC
15543,A,E,T,B,D,AETBD
15544,A,E,T,B,E,AETBE
15545,A,E,T,B,F,AETBF
15546,A,E,T,B,J,AETBJ
15547,A,E,T,B,K,AETBK
15548,A,E,T,B,Q,AETBQ
15549,A,E,T,B,T,AETBT
15550,A,E,T,B,V,AETBV
15551,A,E,T,B,W,AETBW
15552,A,E,T,B,X,AETBX
15553,A,E,T,B,Y,AETBY
15554,A,E,T,B,Z,AETBZ
15555,A,E,T,C,A,AETCA
15556,A,E,T,C,B,AETCB
15557,A,E,T,C,C,AETCC
15558,A,E,T,C,D,AETCD
15559,A,E,T,C,E,AETCE
15560,A,E,T,C,F,AETCF
15561,A,E,T,C,J,AETCJ
15562,A,E,T,C,K,AETCK
15563,A,E,T,C,Q,AETCQ
15564,A,E,T,C,T,AETCT
15565,A,E,T,C,V,AETCV
15566,A,E,T,C,W,AETCW
15567,A,E,T,C,X,AETCX
15568,A,E,T,C,Y,AETCY
15569,A,E,T,C,Z,AETCZ
15570,A,E,T,D,A,AETDA
15571,A,E,T,D,B,AETDB
15572,A,E,T,D,C,AETDC
15573,A,E,T,D,D,AETDD
15574,A,E,T,D,E,AETDE
15575,A,E,T,D,F,AETDF
15576,A,E,T,D,J,AETDJ
15577,A,E,T,D,K,AETDK
15578,A,E,T,D,Q,AETDQ
15579,A,E,T,D,T,AETDT
15580,A,E,T,D,V,AETDV
15581,A,E,T,D,W,AETDW
15582,A,E,T,D,X,AETDX
15583,A,E,T,D,Y,AETDY
15584,A,E,T,D,Z,AETDZ
15600,A,E,T,F,A,AETFA
15601,A,E,T,F,B,AETFB
15602,A,E,T,F,C,AETFC
15603,A,E,T,F,D,AETFD
15604,A,E,T,F,E,AETFE
15605,A,E,T,F,F,AETFF
15606,A,E,T,F,J,AETFJ
15607,A,E,T,F,K,AETFK
15608,A,E,T,F,Q,AETFQ
15609,A,E,T,F,T,AETFT
15610,A,E,T,F,V,AETFV
15611,A,E,T,F,W,AETFW
15612,A,E,T,F,X,AETFX
15613,A,E,T,F,Y,AETFY
15614,A,E,T,F,Z,AETFZ
15615,A,E,T,J,A,AETJA
15616,A,E,T,J,B,AETJB
15617,A,E,T,J,C,AETJC
15618,A,E,T,J,D,AETJD
15619,A,E,T,J,E,AETJE
15620,A,E,T,J,F,AETJF
15621,A,E,T,J,J,AETJJ
15622,A,E,T,J,K,AETJK
15623,A,E,T,J,Q,AETJQ
15624,A,E,T,J,T,AETJT
15625,A,E,T,J,V,AETJV
15626,A,E,T,J,W,AETJW
15627,A,E,T,J,X,AETJX
15628,A,E,T,J,Y,AETJY
15629,A,E,T,J,Z,AETJZ
15630,A,E,T,K,A,AETKA
15631,A,E,T,K,B,AETKB
15632,A,E,T,K,C,AETKC
15633,A,E,T,K,D,AETKD
15634,A,E,T,K,E,AETKE
15635,A,E,T,K,F,AETKF
15636,A,E,T,K,J,AETKJ
15637,A,E,T,K,K,AETKK
15638,A,E,T,K,Q,AETKQ
15639,A,E,T,K,T,AETKT
15640,A,E,T,K,V,AETKV
15641,A,E,T,K,W,AETKW
15642,A,E,T,K,X,AETKX
15643,A,E,T,K,Y,AETKY
15644,A,E,T,K,Z,AETKZ
15645,A,E,T,Q,A,AETQA
15646,A,E,T,Q,B,AETQB
15647,A,E,T,Q,C,AETQC
15648,A,E,T,Q,D,AETQD
15649,A,E,T,Q,E,AETQE
15650,A,E,T,Q,F,AETQF
15651,A,E,T,Q,J,AETQJ
15652,A,E,T,Q,K,AETQK
15653,A,E,T,Q,Q,AETQQ
15654,A,E,T,Q,T,AETQT
15655,A,E,T,Q,V,AETQV
15656,A,E,T,Q,W,AETQW
15657,A,E,T,Q,X,AETQX
15658,A,E,T,Q,Y,AETQY
15659,A,E,T,Q,Z,AETQZ
15660,A,E,T,T,A,AETTA
15661,A,E,T,T,B,AETTB
15662,A,E,T,T,C,AETTC
15663,A,E,T,T,D,AETTD
15664,A,E,T,T,E,AETTE
15665,A,E,T,T,F,AETTF
15666,A,E,T,T,J,AETTJ
15667,A,E,T,T,K,AETTK
15668,A,E,T,T,Q,AETTQ
15669,A,E,T,T,T,AETTT
15670,A,E,T,T,V,AETTV
15671,A,E,T,T,W,AETTW
15672,A,E,T,T,X,AETTX
15673,A,E,T,T,Y,AETTY
15674,A,E,T,T,Z,AETTZ
15675,A,E,T,V,A,AETVA
15676,A,E,T,V,B,AETVB
15677,A,E,T,V,C,AETVC
15678,A,E,T,V,D,AETVD
15679,A,E,T,V,E,AETVE
15680,A,E,T,V,F,AETVF
15681,A,E,T,V,J,AETVJ
15682,A,E,T,V,K,AETVK
15683,A,E,T,V,Q,AETVQ
15684,A,E,T,V,T,AETVT
15685,A,E,T,V,V,AETVV
15686,A,E,T,V,W,AETVW
15687,A,E,T,V,X,AETVX
15688,A,E,T,V,Y,AETVY
15689,A,E,T,V,Z,AETVZ
15690,A,E,T,W,A,AETWA
15691,A,E,T,W,B,AETWB
15692,A,E,T,W,C,AETWC
15693,A,E,T,W,D,AETWD
15694,A,E,T,W,E,AETWE
15695,A,E,T,W,F,AETWF
15696,A,E,T,W,J,AETWJ
15697,A,E,T,W,K,AETWK
15698,A,E,T,W,Q,AETWQ
15699,A,E,T,W,T,AETWT
15700,A,E,T,W,V,AETWV
15701,A,E,T,W,W,AETWW
15702,A,E,T,W,X,AETWX
15703,A,E,T,W,Y,AETWY
15704,A,E,T,W,Z,AETWZ
15705,A,E,T,X,A,AETXA
15706,A,E,T,X,B,AETXB
15707,A,E,T,X,C,AETXC
15708,A,E,T,X,D,AETXD
15709,A,E,T,X,E,AETXE
15710,A,E,T,X,F,AETXF
15711,A,E,T,X,J,AETXJ
15712,A,E,T,X,K,AETXK
15713,A,E,T,X,Q,AETXQ
15714,A,E,T,X,T,AETXT
15715,A,E,T,X,V,AETXV
15716,A,E,T,X,W,AETXW
15717,A,E,T,X,X,AETXX
15718,A,E,T,X,Y,AETXY
15719,A,E,T,X,Z,AETXZ
15720,A,E,T,Y,A,AETYA
15721,A,E,T,Y,B,AETYB
15722,A,E,T,Y,C,AETYC
15723,A,E,T,Y,D,AETYD
15724,A,E,T,Y,E,AETYE
15725,A,E,T,Y,F,AETYF
15726,A,E,T,Y,J,AETYJ
15727,A,E,T,Y,K,AETYK
15728,A,E,T,Y,Q,AETYQ
15729,A,E,T,Y,T,AETYT
15730,A,E,T,Y,V,AETYV
15731,A,E,T,Y,W,AETYW
15732,A,E,T,Y,X,AETYX
15733,A,E,T,Y,Y,AETYY
15734,A,E,T,Y,Z,AETYZ
15735,A,E,T,Z,A,AETZA
15736,A,E,T,Z,B,AETZB
15737,A,E,T,Z,C,AETZC
15738,A,E,T,Z,D,AETZD
15739,A,E,T,Z,E,AETZE
15740,A,E,T,Z,F,AETZF
15741,A,E,T,Z,J,AETZJ
15742,A,E,T,Z,K,AETZK
15743,A,E,T,Z,Q,AETZQ
15744,A,E,T,Z,T,AETZT
15745,A,E,T,Z,V,AETZV
15746,A,E,T,Z,W,AETZW
15747,A,E,T,Z,X,AETZX
15748,A,E,T,Z,Y,AETZY
15749,A,E,T,Z,Z,AETZZ
15759,A,E,V,A,T,AEVAT
15774,A,E,V,B,T,AEVBT
15789,A,E,V,C,T,AEVCT
15804,A,E,V,D,T,AEVDT
15834,A,E,V,F,T,AEVFT
15849,A,E,V,J,T,AEVJT
15864,A,E,V,K,T,AEVKT
15879,A,E,V,Q,T,AEVQT
15885,A,E,V,T,A,AEVTA
15886,A,E,V,T,B,AEVTB
15887,A,E,V,T,C,AEVTC
15888,A,E,V,T,D,AEVTD
15889,A,E,V,T,E,AEVTE
15890,A,E,V,T,F,AEVTF
15891,A,E,V,T,J,AEVTJ
15892,A,E,V,T,K,AEVTK
15893,A,E,V,T,Q,AEVTQ
15894,A,E,V,T,T,AEVTT
15895,A,E,V,T,V,AEVTV
15896,A,E,V,T,W,AEVTW
15897,A,E,V,T,X,AEVTX
15898,A,E,V,T,Y,AEVTY
15899,A,E,V,T,Z,AEVTZ
15909,A,E,V,V,T,AEVVT
15924,A,E,V,W,T,AEVWT
15939,A,E,V,X,T,AEVXT
15954,A,E,V,Y,T,AEVYT
15969,A,E,V,Z,T,AEVZT
15984,A,E,W,A,T,AEWAT
15999,A,E,W,B,T,AEWBT
16014,A,E,W,C,T,AEWCT
16029,A,E,W,D,T,AEWDT
16059,A,E,W,F,T,AEWFT
16074,A,E,W,J,T,AEWJT
16089,A,E,W,K,T,AEWKT
16104,A,E,W,Q,T,AEWQT
16110,A,E,W,T,A,AEWTA
16111,A,E,W,T,B,AEWTB
16112,A,E,W,T,C,AEWTC
16113,A,E,W,T,D,AEWTD
16114,A,E,W,T,E,AEWTE
16115,A,E,W,T,F,AEWTF
16116,A,E,W,T,J,AEWTJ
16117,A,E,W,T,K,AEWTK
16118,A,E,W,T,Q,AEWTQ
16119,A,E,W,T,T,AEWTT
16120,A,E,W,T,V,AEWTV
16121,A,E,W,T,W,AEWTW
16122,A,E,W,T,X,AEWTX
16123,A,E,W,T,Y,AEWTY
16124,A,E,W,T,Z,AEWTZ
16134,A,E,W,V,T,AEWVT
16149,A,E,W,W,T,AEWWT
16164,A,E,W,X,T,AEWXT
16179,A,E,W,Y,T,AEWYT
16194,A,E,W,Z,T,AEWZT
16209,A,E,X,A,T,AEXAT
16224,A,E,X,B,T,AEXBT
16239,A,E,X,C,T,AEXCT
16254,A,E,X,D,T,AEXDT
16284,A,E,X,F,T,AEXFT
16299,A,E,X,J,T,AEXJT
16314,A,E,X,K,T,AEXKT
16329,A,E,X,Q,T,AEXQT
16335,A,E,X,T,A,AEXTA
16336,A,E,X,T,B,AEXTB
16337,A,E,X,T,C,AEXTC
16338,A,E,X,T,D,AEXTD
16339,A,E,X,T,E,AEXTE
16340,A,E,X,T,F,AEXTF
16341,A,E,X,T,J,AEXTJ
16342,A,E,X,T,K,AEXTK
16343,A,E,X,T,Q,AEXTQ
16344,A,E,X,T,T,AEXTT
16345,A,E,X,T,V,AEXTV
16346,A,E,X,T,W,AEXTW
16347,A,E,X,T,X,AEXTX
16348,A,E,X,T,Y,AEXTY
16349,A,E,X,T,Z,AEXTZ
16359,A,E,X,V,T,AEXVT
16374,A,E,X,W,T,AEXWT
16389,A,E,X,X,T,AEXXT
16404,A,E,X,Y,T,AEXYT
16419,A,E,X,Z,T,AEXZT
16434,A,E,Y,A,T,AEYAT
16449,A,E,Y,B,T,AEYBT
16464,A,E,Y,C,T,AEYCT
16479,A,E,Y,D,T,AEYDT
16509,A,E,Y,F,T,AEYFT
16524,A,E,Y,J,T,AEYJT
16539,A,E,Y,K,T,AEYKT
16554,A,E,Y,Q,T,AEYQT
16560,A,E,Y,T,A,AEYTA
16561,A,E,Y,T,B,AEYTB
16562,A,E,Y,T,C,AEYTC
16563,A,E,Y,T,D,AEYTD
16564,A,E,Y,T,E,AEYTE
16565,A,E,Y,T,F,AEYTF
16566,A,E,Y,T,J,AEYTJ
16567,A,E,Y,T,K,AEYTK
16568,A,E,Y,T,Q,AEYTQ
16569,A,E,Y,T,T,AEYTT
16570,A,E,Y,T,V,AEYTV
16571,A,E,Y,T,W,AEYTW
16572,A,E,Y,T,X,AEYTX
